,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
2133,NDAQ,netIncomeApplicableToCommonShares,288000000,342000000,298000000,225000000
2134,NFLX,researchDevelopment,563887000,537321000,525207000,486936000
2135,NFLX,effectOfAccountingCharges,,,,
2136,NFLX,incomeBeforeTax,1660959000,1593789000,2034502000,506417000
2137,NFLX,minorityInterest,,,,
2138,NFLX,netIncome,1449071000,1353013000,1706715000,542156000
2139,NFLX,sellingGeneralAdministrative,957738000,938818000,809708000,1038104000
2140,NFLX,grossProfit,3276878000,3323769000,3294771000,2479282000
2141,NFLX,ebit,1755253000,1847630000,1959856000,954242000
2142,NFLX,operatingIncome,1755253000,1847630000,1959856000,954242000
2143,NFLX,otherOperatingExpenses,,,,
2144,NFLX,interestExpense,-190429000,-191322000,-194440000,-197186000
2145,NFLX,extraordinaryItems,,,,
2146,NFLX,nonRecurring,,,,
2147,NFLX,otherItems,,,,
2148,NFLX,incomeTaxExpense,211888000,240776000,327787000,-35739000
2149,NFLX,totalRevenue,7483467000,7341777000,7163282000,6644442000
2150,NFLX,totalOperatingExpenses,5728214000,5494147000,5203426000,5690200000
2151,NFLX,costOfRevenue,4206589000,4018008000,3868511000,4165160000
2152,NFLX,totalOtherIncomeExpenseNet,-94294000,-253841000,74646000,-447825000
2153,NFLX,discontinuedOperations,,,,
2154,NFLX,netIncomeFromContinuingOps,1449071000,1353013000,1706715000,542156000
2155,NFLX,netIncomeApplicableToCommonShares,1449071000,1353013000,1706715000,542156000
2156,NLOK,researchDevelopment,60000000,66000000,68000000,68000000
2157,NLOK,effectOfAccountingCharges,,,,
2158,NLOK,incomeBeforeTax,261000000,433000000,252000000,289000000
2159,NLOK,minorityInterest,,,,
2160,NLOK,netIncome,202000000,333000000,181000000,194000000
2161,NLOK,sellingGeneralAdministrative,202000000,213000000,201000000,200000000
2162,NLOK,grossProfit,597000000,592000000,584000000,573000000
2163,NLOK,ebit,314000000,292000000,294000000,285000000
2164,NLOK,operatingIncome,314000000,292000000,294000000,285000000
2165,NLOK,otherOperatingExpenses,,,,
2166,NLOK,interestExpense,-32000000,-31000000,-32000000,-35000000
2167,NLOK,extraordinaryItems,,,,
2168,NLOK,nonRecurring,,,,
2169,NLOK,otherItems,,,,
2170,NLOK,incomeTaxExpense,59000000,100000000,71000000,81000000
2171,NLOK,totalRevenue,702000000,692000000,686000000,672000000
2172,NLOK,totalOperatingExpenses,388000000,400000000,392000000,387000000
2173,NLOK,costOfRevenue,105000000,100000000,102000000,99000000
2174,NLOK,totalOtherIncomeExpenseNet,-53000000,141000000,-42000000,4000000
2175,NLOK,discontinuedOperations,,,,-14000000.0
2176,NLOK,netIncomeFromContinuingOps,202000000,333000000,181000000,208000000
2177,NLOK,netIncomeApplicableToCommonShares,202000000,333000000,181000000,194000000
2178,NRG,researchDevelopment,,,,2000000.0
2179,NRG,effectOfAccountingCharges,,,,
2180,NRG,incomeBeforeTax,2163000000,1458000000,-167000000,-138000000
2181,NRG,minorityInterest,,,,
2182,NRG,netIncome,1618000000,1078000000,-82000000,-173000000
2183,NRG,sellingGeneralAdministrative,318000000,308000000,330000000,246000000
2184,NRG,grossProfit,2917000000,2286000000,1227000000,412000000
2185,NRG,ebit,2336000000,1885000000,-31000000,47000000
2186,NRG,operatingIncome,2336000000,1885000000,-31000000,47000000
2187,NRG,otherOperatingExpenses,,,,
2188,NRG,interestExpense,-122000000,-125000000,-127000000,-109000000
2189,NRG,extraordinaryItems,,,,
2190,NRG,nonRecurring,,,,
2191,NRG,otherItems,,,,
2192,NRG,incomeTaxExpense,545000000,380000000,-85000000,35000000
2193,NRG,totalRevenue,6609000000,5243000000,8091000000,2027000000
2194,NRG,totalOperatingExpenses,4273000000,3358000000,8122000000,1980000000
2195,NRG,costOfRevenue,3692000000,2957000000,6864000000,1615000000
2196,NRG,totalOtherIncomeExpenseNet,-173000000,-427000000,-136000000,-185000000
2197,NRG,discontinuedOperations,,,,
2198,NRG,netIncomeFromContinuingOps,1618000000,1078000000,-82000000,-173000000
